Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Denmark,DNK,..,..,..,..,..,..,82,..,81,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Djibouti,DJI,..,..,..,..,..,..,44,..,47,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Dominican Republic,DOM,..,..,..,..,..,..,74,..,74,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Ecuador,ECU,..,..,..,..,..,..,76,..,77,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,65,..,68,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,El Salvador,SLV,..,..,..,..,..,..,75,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Equatorial Guinea,GNQ,..,..,..,..,..,..,40,..,45,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Eritrea,ERI,..,..,..,..,..,..,38,..,38,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Estonia,EST,..,..,..,..,..,..,75,..,75,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Eswatini,SWZ,..,..,..,..,..,..,60,..,63,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Ethiopia,ETH,..,..,..,..,..,..,39,..,39,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Fiji,FJI,..,..,..,..,..,..,64,..,64,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Finland,FIN,..,..,..,..,..,..,79,..,78,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,France,FRA,..,..,..,..,..,..,78,..,78,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Gabon,GAB,..,..,..,..,..,..,51,..,49,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Gambia, The",GMB,..,..,..,..,..,..,45,..,44,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Georgia,GEO,..,..,..,..,..,..,66,..,66,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Germany,DEU,..,..,..,..,..,..,82,..,83,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Ghana,GHA,..,..,..,..,..,..,46,..,47,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Greece,GRC,..,..,..,..,..,..,74,..,75,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Grenada,GRD,..,..,..,..,..,..,69,..,72,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Guatemala,GTM,..,..,..,..,..,..,57,..,55,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Guinea,GIN,..,..,..,..,..,..,34,..,37,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Guinea-Bissau,GNB,..,..,..,..,..,..,40,..,40,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Guyana,GUY,..,..,..,..,..,..,70,..,72,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Haiti,HTI,..,..,..,..,..,..,47,..,49,..,..,..
